eval_total_steps,l2,gail,tdil
5495,50,50,23
5500,50,50,23
5505,50,23,23
5510,50,23,23
5515,50,50,23
5520,50,23,23
5525,50,23,23
5530,50,23,23
5535,50,23,23
5540,50,50,23
5545,50,50,23
5550,50,23,23
5555,50,50,23
5560,50,50,23
5565,50,23,23
5570,50,23,23
5575,50,50,23
5580,50,50,23
5585,50,23,23
5590,50,23,23
5595,50,23,23
5600,50,50,23
5605,50,23,23
5610,50,23,23
5615,50,23,23
5620,50,23,23
5625,50,50,23
5630,50,50,23
5635,50,23,23
5640,50,50,23
5645,50,50,23
5650,50,23,23
5655,50,23,23
5660,50,50,23
5665,50,23,23
5670,50,23,23
5675,50,23,23
5680,50,50,23
5685,50,50,23
5690,50,23,23
5695,50,23,23
5700,50,50,23
5705,50,23,23
5710,50,50,23
5715,50,50,23
5720,50,50,23
5725,50,23,23
5730,50,23,23
5735,50,50,23
5740,50,23,23
5745,50,23,23
5750,50,23,23
5755,50,23,23
5760,50,23,23
5765,50,50,23
5770,50,23,23
5775,50,23,23
5780,50,50,23
5785,50,23,23
5790,50,23,23
5795,50,50,23
5800,50,23,23
5805,50,50,23
5810,50,23,23
5815,50,23,23
5820,50,23,23
5825,50,23,23
5830,50,50,23
5835,50,23,23
5840,50,23,23
5845,50,50,23
5850,50,23,23
5855,50,23,23
5860,50,50,23
5865,50,23,23
5870,50,23,23
5875,50,23,23
5880,50,23,23
5885,50,23,23
5890,50,50,23
5895,50,50,23
5900,50,23,23
5905,50,23,23
5910,50,50,23
5915,50,23,23
5920,50,23,23
5925,50,23,23
5930,50,23,23
5935,50,23,23
5940,50,50,23
5945,50,50,23
5950,50,23,23
5955,50,23,23
5960,50,23,23
5965,50,23,23
5970,50,50,23
5975,50,50,23
5980,50,23,23
5985,50,23,
5990,50,23,
5995,50,50,
6000,50,23,
6005,50,23,
6010,50,23,
6015,50,50,
6020,50,23,
6025,50,23,
6030,50,23,
6035,50,23,
6040,50,23,
6045,50,23,
6050,50,23,
6055,50,23,
6060,50,23,
6065,50,23,
6070,50,23,
6075,50,23,
6080,50,23,
6085,50,23,
6090,50,23,
6095,50,23,
6100,50,23,
6105,50,23,
6110,50,23,
6115,50,23,
6120,50,23,
6125,50,23,
6130,50,23,
6135,50,23,
6140,50,23,
6145,50,23,
6150,50,23,
6155,50,23,
6160,50,23,
6165,50,23,
6170,50,23,
6175,50,23,
6180,50,23,
6185,50,23,
6190,50,23,
6195,50,23,
6200,50,50,
6205,50,23,
6210,50,23,
6215,50,23,
6220,50,23,
6225,50,23,
6230,50,23,
6235,50,23,
6240,50,23,
6245,50,23,
6250,50,23,
6255,50,23,
6260,50,23,
6265,50,23,
6270,50,23,
6275,50,23,
6280,50,23,
6285,50,23,
6290,50,23,
6295,50,23,
6300,50,23,
6305,50,23,
6310,50,23,
6315,50,23,
6320,50,23,
6325,50,23,
6330,50,23,
6335,50,23,
6340,50,23,
6345,50,23,
6350,50,23,
6355,50,23,
6360,50,23,
6365,50,23,
6370,50,23,
6375,50,23,
6380,50,23,
6385,50,23,
6390,50,23,
6395,50,23,
6400,50,23,
6405,50,23,
6410,50,23,
6415,50,23,
6420,50,23,
6425,50,23,
6430,50,23,
6435,50,23,
6440,50,23,
6445,50,23,
6450,50,23,
6455,50,23,
6460,50,23,
6465,50,23,
6470,50,23,
6475,50,23,
6480,50,23,
6485,50,23,
6490,50,23,
6495,50,23,
6500,50,23,
6505,50,23,
6510,50,23,
6515,50,23,
6520,50,23,
6525,50,23,
6530,50,23,
6535,50,23,
6540,50,23,
6545,50,23,
6550,50,23,
6555,50,23,
6560,50,23,
6565,50,23,
6570,50,23,
6575,50,23,
6580,50,23,
6585,50,23,
6590,50,23,
6595,50,23,
6600,50,23,
6605,50,23,
6610,50,23,
6615,50,23,
6620,50,23,
6625,50,23,
6630,50,23,
6635,50,23,
6640,50,23,
6645,50,23,
6650,50,23,
6655,50,23,
6660,50,23,
6665,50,23,
6670,50,23,
6675,50,23,
6680,50,23,
6685,50,23,
6690,50,23,
6695,50,23,
6700,50,23,
6705,50,23,
6710,50,23,
6715,50,23,
6720,50,23,
6725,50,23,
6730,50,23,
6735,50,23,
6740,50,23,
6745,50,23,
